id,district_id,name_en,postcode,latitude,longitude
522,Gampaha,Kimbulapitiya,11522,7.2042407,79.8940806
523,Gampaha,Kirindiwela,11730,7.0411825,80.1289324
524,Gampaha,Kitalawalana,11206,7.2909333,80.1142434
525,Gampaha,Kochchikade,11540,7.2657063,79.8591235
526,Gampaha,Kotadeniyawa,11232,7.2838813,80.066065
527,Gampaha,Kotugoda,11390,7.123191,79.9241673
528,Gampaha,Kumbaloluwa,11105,7.1771057,80.1121493
529,Gampaha,Loluwagoda,11204,7.2921006,80.135035
530,Gampaha,Mabodale,11114,7.2024369,80.0187213
531,Gampaha,Madelgamuwa,11033,7.1084613,79.9598696
532,Gampaha,Makewita,11358,7.10095,79.9633262
533,Gampaha,Makola,11640,6.9718989,79.9466398
534,Gampaha,Malwana,11670,6.9507844,80.0157449
535,Gampaha,Mandawala,11061,7.0001178,80.0939978
536,Gampaha,Marandagahamula,11260,7.2289814,79.9906015
537,Gampaha,Mellawagedara,11234,7.2856809,80.026944
538,Gampaha,Minuwangoda,11550,7.1842076,79.9500477
539,Gampaha,Mirigama,11200,7.2271109,80.1567664
540,Gampaha,Miriswatta,80508,7.0727394,80.0157633
541,Gampaha,Mithirigala,11742,6.9962236,80.1609995
542,Gampaha,Muddaragama,11112,7.2085995,80.0550033
543,Gampaha,Mudungoda,11056,7.0666922,80.012269
544,Gampaha,Mulleriyawa New Town,10620,7.0840484,80.0098314
545,Gampaha,Naranwala,11063,7.0118957,80.0241489
546,Gampaha,Nawana,11222,7.0840484,80.0098314
547,Gampaha,Nedungamuwa,11066,7.0489741,80.0213538
548,Gampaha,Negombo,11500,7.1955474,79.8573384
549,Gampaha,Nikadalupotha,60580,7.6540965,80.3756081
550,Gampaha,Nikahetikanda,11128,7.0988024,80.1791368
551,Gampaha,Nittambuwa,11880,7.1423639,80.1037721
552,Gampaha,Niwandama,11354,7.0734533,79.9277763
553,Gampaha,Opatha,80142,7.1320576,79.9263427
554,Gampaha,Pamunugama,11370,7.0864986,79.8548823
555,Gampaha,Pamunuwatta,11214,7.2163123,80.1414627
556,Gampaha,Panawala,70612,7.1674068,80.0939978
557,Gampaha,Pasyala,11890,7.1667103,80.1233175
558,Gampaha,Peliyagoda,11830,6.9584915,79.9055819
559,Gampaha,Pepiliyawala,11741,7.00218,80.128901
560,Gampaha,Pethiyagoda,11043,7.1380617,79.9951044
561,Gampaha,Polpithimukulana,11324,7.0840484,80.0098314
562,Gampaha,Puwakpitiya,10712,7.0380187,80.0674619
563,Gampaha,Radawadunna,11892,7.1843873,80.1414627
564,Gampaha,Radawana,11725,7.0319495,80.0939978
565,Gampaha,Raddolugama,11400,7.1406334,79.9013603
566,Gampaha,Ragama,11010,7.0231768,79.9077723
567,Gampaha,Ruggahawila,11142,7.1100379,80.1142434
568,Gampaha,Seeduwa,11410,7.1406784,79.8869732
569,Gampaha,Siyambalape,11607,6.9674112,79.9892034
570,Gampaha,Talahena,11504,7.0840484,80.0098314
571,Gampaha,Thambagalla,60584,7.0840484,80.0098314
572,Gampaha,Thimbirigaskatuwa,11532,7.1354242,79.8885102
573,Gampaha,Tittapattara,10664,6.9135615,80.0597213
574,Gampaha,Udathuthiripitiya,11054,7.0840484,80.0098314
575,Gampaha,Udugampola,11030,7.1263574,79.9780178
576,Gampaha,Uggalboda,11034,7.1324802,79.9542438
577,Gampaha,Urapola,11126,7.0980424,80.1449906
578,Gampaha,Uswetakeiyawa,11328,7.0389911,79.8660836
579,Gampaha,Veyangoda,11100,7.1662139,80.0558695
580,Gampaha,Walgammulla,11146,7.0709392,80.1177335
581,Gampaha,Walpita,11226,7.2612667,80.045913
582,Gampaha,Walpola (WP),11012,7.1943487,79.9276651
583,Gampaha,Wathurugama,11724,7.0546548,80.1009796
584,Gampaha,Watinapaha,11104,7.1853118,80.0003875
585,Gampaha,Wattala,11104,6.9906677,79.8931709
586,Gampaha,Weboda,11858,7.0251175,79.9913005
587,Gampaha,Wegowwa,11562,7.1716032,79.9746299
588,Gampaha,Weweldeniya,11894,7.1979285,80.1526271
589,Gampaha,Yakkala,11870,7.0864153,80.0335107
590,Gampaha,Yatiyana,11566,7.1867708,79.9260548
591,Hambantota,Ambalantota,82100,6.1225999,81.0237594
592,Hambantota,Angunakolapelessa,82220,6.1655689,80.9031172
593,Hambantota,Angunakolawewa,91302,6.4115488,81.0859235
594,Hambantota,Bandagiriya Colony,82005,6.2408604,81.1448479
595,Hambantota,Barawakumbuka,82110,6.2257854,80.9290685
596,Hambantota,Beliatta,82400,6.0481573,80.7339144
597,Hambantota,Beragama,82102,6.1421255,81.0318169
598,Hambantota,Beralihela,82618,6.321587,81.2981673
599,Hambantota,Bundala,82002,6.1942487,81.1873141
600,Hambantota,Ellagala,82619,6.333333,81.25
601,Hambantota,Gangulandeniya,82586,6.2956299,80.7186697
602,Hambantota,Getamanna,82420,6.0395499,80.6895583
603,Hambantota,Goda Koggalla,82401,6.183333,81.016667
604,Hambantota,Gonagamuwa Uduwila,82602,6.2472394,81.265649
605,Hambantota,Gonnoruwa,82006,6.233333,81.1
606,Hambantota,Hakuruwela,82248,6.1493333,80.8308587
607,Hambantota,Hambantota,82000,6.1428829,81.1212308
608,Hambantota,Handugala,81326,6.1903211,80.6257539
609,Hambantota,Hungama,82120,6.115626,80.9290685
610,Hambantota,Ihala Beligalla,82412,6.1535816,81.127149
611,Hambantota,Iththa Demaliya,82462,6.1678463,80.7459337
612,Hambantota,Julampitiya,82252,6.2355232,80.7354311
613,Hambantota,Kahandamodara,82126,6.0698824,80.891511
614,Hambantota,Kariyamaditta,82274,6.2552733,80.8128636
615,Hambantota,Katuwana,82500,6.2636238,80.6909448
616,Hambantota,Kawantissapura,82622,6.3518712,81.3129795
617,Hambantota,Kirama,82550,6.2066921,80.6618234
618,Hambantota,Kirinda,82614,6.235236,81.3344408
619,Hambantota,Lunama,82108,6.0953167,80.9677658
620,Hambantota,Lunugamwehera,82634,6.3383515,81.1442093
621,Hambantota,Magama,82608,6.2058366,81.30418
622,Hambantota,Mahagalwewa,82016,6.3854382,81.0395821
623,Hambantota,Mamadala,82109,6.1596539,80.974674
624,Hambantota,Medamulana,82254,6.1810279,80.7685508
625,Hambantota,Middeniya,82270,6.2513579,80.7641653
626,Hambantota,Meegahajandura,82014,6.1592853,81.1273013
627,Hambantota,Modarawana,82416,6.1173609,80.7242136
628,Hambantota,Mulkirigala,82242,6.1087918,80.7588541
629,Hambantota,Nakulugamuwa,82300,5.9954309,80.7089671
630,Hambantota,Netolpitiya,82135,6.0656506,80.8391628
631,Hambantota,Nihiluwa,82414,6.0713577,80.7062933
632,Hambantota,Padawkema,82636,6.1428829,81.1212308
633,Hambantota,Pahala Andarawewa,82008,6.299588,81.0856327
634,Hambantota,Rammalawarapitiya,82554,6.2219871,80.6368539
635,Hambantota,Ranakeliya,82612,6.1428829,81.1212308
636,Hambantota,Ranmuduwewa,82018,6.3462942,81.058906
637,Hambantota,Ranna,82125,6.0935429,80.8626864
638,Hambantota,Ratmalwala,82276,6.1428829,81.1212308
639,Hambantota,Ruhunu Ridiyagama,82106,6.2468436,80.9824649
640,Hambantota,Sooriyawewa Town,82010,6.3110025,80.9953952
641,Hambantota,Tangalla,82200,6.0243383,80.7940726
642,Hambantota,Tissamaharama,82600,6.2791538,81.2876691
643,Hambantota,Uda Gomadiya,82504,6.2956159,80.6693375
644,Hambantota,Udamattala,82638,6.2913906,81.1213571
645,Hambantota,Uswewa,82278,6.2420622,80.8834367
646,Hambantota,Vitharandeniya,82232,6.0243383,80.7940726
647,Hambantota,Walasmulla,82450,6.1508888,80.6937177
648,Hambantota,Weeraketiya,82240,6.1476081,80.7633743
649,Hambantota,Weerawila,82632,6.2421494,81.229209
650,Hambantota,Weerawila NewTown,82615,6.2421494,81.229209
651,Hambantota,Wekandawela,82246,6.1428829,81.1212308
652,Hambantota,Weligatta,82004,6.2385761,81.2188355
653,Hambantota,Yatigala,82418,6.1134196,80.6947365
654,Jaffna,Jaffna,40000,9.669013,80.0269528
655,Kalutara,Agalawatta,12200,6.5422794,80.157504
656,Kalutara,Alubomulla,12524,6.7113091,79.9458514
657,Kalutara,Anguruwatota,12320,6.6446971,80.0745954
658,Kalutara,Atale,71363,6.45,80.266667
659,Kalutara,Baduraliya,12230,6.5171221,80.2311801
660,Kalutara,Bandaragama,12530,6.7144073,79.9890604
661,Kalutara,Batugampola,10526,6.7739817,80.1396721
662,Kalutara,Bellana,12224,6.522136,80.1735565
663,Kalutara,Beruwala,12070,6.4632038,79.9747124
664,Kalutara,Bolossagama,12008,6.6230589,80.0157633
665,Kalutara,Bombuwala,12024,6.5754072,80.0142805
666,Kalutara,Boralugoda,12142,6.4347185,80.2795195
667,Kalutara,Bulathsinhala,12300,6.6487471,80.1791368
668,Kalutara,Danawala Thiniyawala,12148,6.415104,80.3286273
669,Kalutara,Delmella,12304,6.6796219,80.2056382
670,Kalutara,Dharga Town,12090,6.4447452,80.0168602
671,Kalutara,Diwalakada,12308,6.5711153,80.0608753
672,Kalutara,Dodangoda,12020,6.5528675,80.0232923
